,0
0,"{'label': 'NEG', 'score': 0.950051486492157}"
1,"{'label': 'NEU', 'score': 0.9412392973899841}"
2,"{'label': 'POS', 'score': 0.8608319163322449}"
3,"{'label': 'NEU', 'score': 0.9412392973899841}"
4,"{'label': 'POS', 'score': 0.8608319163322449}"
5,"{'label': 'NEU', 'score': 0.9412392973899841}"
6,"{'label': 'POS', 'score': 0.8608319163322449}"
7,"{'label': 'NEU', 'score': 0.9412392973899841}"
8,"{'label': 'POS', 'score': 0.8608319163322449}"
9,"{'label': 'NEU', 'score': 0.9412392973899841}"
10,"{'label': 'POS', 'score': 0.8608319163322449}"
11,"{'label': 'POS', 'score': 0.9153390526771545}"
12,"{'label': 'POS', 'score': 0.9153390526771545}"
13,"{'label': 'POS', 'score': 0.9153390526771545}"
14,"{'label': 'POS', 'score': 0.9153390526771545}"
15,"{'label': 'POS', 'score': 0.9153390526771545}"
16,"{'label': 'NEU', 'score': 0.9225937724113464}"
17,"{'label': 'NEU', 'score': 0.9212835431098938}"
18,"{'label': 'NEU', 'score': 0.9212835431098938}"
19,"{'label': 'NEU', 'score': 0.9212835431098938}"
20,"{'label': 'NEU', 'score': 0.9212835431098938}"
21,"{'label': 'NEU', 'score': 0.9212835431098938}"
22,"{'label': 'NEU', 'score': 0.8741162419319153}"
23,"{'label': 'NEU', 'score': 0.9612816572189331}"
24,"{'label': 'NEG', 'score': 0.8947935104370117}"
25,"{'label': 'NEU', 'score': 0.5338524580001831}"
26,"{'label': 'NEU', 'score': 0.8906934857368469}"
27,"{'label': 'NEU', 'score': 0.5338524580001831}"
28,"{'label': 'NEU', 'score': 0.8906934857368469}"
29,"{'label': 'NEU', 'score': 0.5338524580001831}"
30,"{'label': 'NEU', 'score': 0.8906934857368469}"
31,"{'label': 'NEU', 'score': 0.5338524580001831}"
32,"{'label': 'NEU', 'score': 0.8906934857368469}"
33,"{'label': 'NEU', 'score': 0.5338524580001831}"
34,"{'label': 'NEU', 'score': 0.8906934857368469}"
35,"{'label': 'NEU', 'score': 0.8621839284896851}"
36,"{'label': 'NEU', 'score': 0.8621839284896851}"
37,"{'label': 'NEU', 'score': 0.8621839284896851}"
38,"{'label': 'NEU', 'score': 0.8621839284896851}"
39,"{'label': 'NEU', 'score': 0.8621839284896851}"
40,"{'label': 'NEG', 'score': 0.5441997051239014}"
41,"{'label': 'POS', 'score': 0.8157856464385986}"
42,"{'label': 'POS', 'score': 0.8157856464385986}"
43,"{'label': 'POS', 'score': 0.8157856464385986}"
44,"{'label': 'POS', 'score': 0.8157856464385986}"
45,"{'label': 'POS', 'score': 0.8157856464385986}"
46,"{'label': 'NEU', 'score': 0.95612633228302}"
47,"{'label': 'POS', 'score': 0.657060980796814}"
48,"{'label': 'NEU', 'score': 0.9591646790504456}"
49,"{'label': 'POS', 'score': 0.8144532442092896}"
50,"{'label': 'POS', 'score': 0.836111843585968}"
51,"{'label': 'NEU', 'score': 0.9591646790504456}"
52,"{'label': 'POS', 'score': 0.8144532442092896}"
53,"{'label': 'POS', 'score': 0.836111843585968}"
54,"{'label': 'NEU', 'score': 0.9591646790504456}"
55,"{'label': 'POS', 'score': 0.8144532442092896}"
56,"{'label': 'POS', 'score': 0.836111843585968}"
57,"{'label': 'NEU', 'score': 0.9591646790504456}"
58,"{'label': 'POS', 'score': 0.8144532442092896}"
59,"{'label': 'POS', 'score': 0.836111843585968}"
60,"{'label': 'NEU', 'score': 0.9591646790504456}"
61,"{'label': 'POS', 'score': 0.8144532442092896}"
62,"{'label': 'POS', 'score': 0.836111843585968}"
63,"{'label': 'NEG', 'score': 0.8720002174377441}"
64,"{'label': 'POS', 'score': 0.6391457915306091}"
65,"{'label': 'NEU', 'score': 0.956761360168457}"
66,"{'label': 'NEG', 'score': 0.8720002174377441}"
67,"{'label': 'POS', 'score': 0.6391457915306091}"
68,"{'label': 'NEU', 'score': 0.956761360168457}"
69,"{'label': 'NEG', 'score': 0.8720002174377441}"
70,"{'label': 'POS', 'score': 0.6391457915306091}"
71,"{'label': 'NEU', 'score': 0.956761360168457}"
72,"{'label': 'NEG', 'score': 0.8720002174377441}"
73,"{'label': 'POS', 'score': 0.6391457915306091}"
74,"{'label': 'NEU', 'score': 0.956761360168457}"
75,"{'label': 'NEG', 'score': 0.8720002174377441}"
76,"{'label': 'POS', 'score': 0.6391457915306091}"
77,"{'label': 'NEU', 'score': 0.956761360168457}"
78,"{'label': 'NEU', 'score': 0.9400745630264282}"
79,"{'label': 'NEU', 'score': 0.9400745630264282}"
80,"{'label': 'NEU', 'score': 0.9400745630264282}"
81,"{'label': 'NEU', 'score': 0.9400745630264282}"
82,"{'label': 'NEU', 'score': 0.9400745630264282}"
83,"{'label': 'NEU', 'score': 0.5503883361816406}"
84,"{'label': 'NEU', 'score': 0.9250993728637695}"
85,"{'label': 'NEU', 'score': 0.7176905870437622}"
86,"{'label': 'NEU', 'score': 0.7176905870437622}"
87,"{'label': 'NEU', 'score': 0.7176905870437622}"
88,"{'label': 'NEU', 'score': 0.7176905870437622}"
89,"{'label': 'NEU', 'score': 0.7176905870437622}"
90,"{'label': 'NEU', 'score': 0.8560141921043396}"
91,"{'label': 'NEU', 'score': 0.8560141921043396}"
92,"{'label': 'NEU', 'score': 0.8560141921043396}"
93,"{'label': 'NEU', 'score': 0.8560141921043396}"
94,"{'label': 'NEU', 'score': 0.8560141921043396}"
95,"{'label': 'NEU', 'score': 0.8018537759780884}"
96,"{'label': 'NEU', 'score': 0.9556694030761719}"
97,"{'label': 'NEU', 'score': 0.8018537759780884}"
98,"{'label': 'NEU', 'score': 0.9556694030761719}"
99,"{'label': 'NEU', 'score': 0.8018537759780884}"
100,"{'label': 'NEU', 'score': 0.9556694030761719}"
101,"{'label': 'NEU', 'score': 0.8018537759780884}"
102,"{'label': 'NEU', 'score': 0.9556694030761719}"
103,"{'label': 'NEU', 'score': 0.8018537759780884}"
104,"{'label': 'NEU', 'score': 0.9556694030761719}"
105,"{'label': 'NEU', 'score': 0.8537908792495728}"
106,"{'label': 'NEU', 'score': 0.7975097298622131}"
107,"{'label': 'NEU', 'score': 0.5273407101631165}"
108,"{'label': 'NEU', 'score': 0.9692803621292114}"
109,"{'label': 'NEU', 'score': 0.8537908792495728}"
110,"{'label': 'NEU', 'score': 0.7975097298622131}"
111,"{'label': 'NEU', 'score': 0.5273407101631165}"
112,"{'label': 'NEU', 'score': 0.9692803621292114}"
113,"{'label': 'NEU', 'score': 0.9692803621292114}"
114,"{'label': 'NEU', 'score': 0.8537908792495728}"
115,"{'label': 'NEU', 'score': 0.7975097298622131}"
116,"{'label': 'NEU', 'score': 0.5273407101631165}"
117,"{'label': 'NEU', 'score': 0.9692803621292114}"
118,"{'label': 'NEU', 'score': 0.8537908792495728}"
119,"{'label': 'NEU', 'score': 0.7975097298622131}"
120,"{'label': 'NEU', 'score': 0.5273407101631165}"
121,"{'label': 'NEU', 'score': 0.9692803621292114}"
122,"{'label': 'NEU', 'score': 0.8537908792495728}"
123,"{'label': 'NEU', 'score': 0.7975097298622131}"
124,"{'label': 'NEU', 'score': 0.5273407101631165}"
125,"{'label': 'NEU', 'score': 0.9495667219161987}"
126,"{'label': 'POS', 'score': 0.9231376051902771}"
127,"{'label': 'POS', 'score': 0.8703248500823975}"
128,"{'label': 'POS', 'score': 0.8703248500823975}"
129,"{'label': 'POS', 'score': 0.8703248500823975}"
130,"{'label': 'POS', 'score': 0.8703248500823975}"
131,"{'label': 'POS', 'score': 0.8703248500823975}"
132,"{'label': 'POS', 'score': 0.7835230827331543}"
133,"{'label': 'NEU', 'score': 0.9518586993217468}"
134,"{'label': 'POS', 'score': 0.5014099478721619}"
135,"{'label': 'NEU', 'score': 0.8436989188194275}"
136,"{'label': 'POS', 'score': 0.5014099478721619}"
137,"{'label': 'NEU', 'score': 0.8436989188194275}"
138,"{'label': 'POS', 'score': 0.5014099478721619}"
139,"{'label': 'NEU', 'score': 0.8436989188194275}"
140,"{'label': 'POS', 'score': 0.5014099478721619}"
141,"{'label': 'NEU', 'score': 0.8436989188194275}"
142,"{'label': 'POS', 'score': 0.5014099478721619}"
143,"{'label': 'NEU', 'score': 0.8436989188194275}"
144,"{'label': 'NEU', 'score': 0.9513081908226013}"
145,"{'label': 'NEU', 'score': 0.6055134534835815}"
146,"{'label': 'POS', 'score': 0.5657665133476257}"
147,"{'label': 'NEG', 'score': 0.8685051202774048}"
148,"{'label': 'NEU', 'score': 0.9458997845649719}"
149,"{'label': 'NEU', 'score': 0.8938190340995789}"
150,"{'label': 'POS', 'score': 0.9806252717971802}"
151,"{'label': 'NEU', 'score': 0.9299283027648926}"
152,"{'label': 'POS', 'score': 0.9806252717971802}"
153,"{'label': 'NEU', 'score': 0.9299283027648926}"
154,"{'label': 'POS', 'score': 0.9806252717971802}"
155,"{'label': 'NEU', 'score': 0.9299283027648926}"
156,"{'label': 'POS', 'score': 0.9806252717971802}"
157,"{'label': 'NEU', 'score': 0.9299283027648926}"
158,"{'label': 'POS', 'score': 0.9806252717971802}"
159,"{'label': 'NEU', 'score': 0.9299283027648926}"
160,"{'label': 'POS', 'score': 0.9917002320289612}"
161,"{'label': 'NEU', 'score': 0.9116238951683044}"
162,"{'label': 'NEU', 'score': 0.8931328058242798}"
163,"{'label': 'NEU', 'score': 0.8931328058242798}"
164,"{'label': 'NEU', 'score': 0.8931328058242798}"
165,"{'label': 'NEU', 'score': 0.8931328058242798}"
166,"{'label': 'NEU', 'score': 0.8931328058242798}"
167,"{'label': 'NEU', 'score': 0.94156414270401}"
168,"{'label': 'POS', 'score': 0.6692782044410706}"
169,"{'label': 'NEU', 'score': 0.9442601799964905}"
170,"{'label': 'NEG', 'score': 0.8516367077827454}"
171,"{'label': 'NEG', 'score': 0.9495550990104675}"
172,"{'label': 'NEU', 'score': 0.9401853084564209}"
173,"{'label': 'POS', 'score': 0.8287227749824524}"
174,"{'label': 'NEU', 'score': 0.9636023044586182}"
175,"{'label': 'NEU', 'score': 0.6654118299484253}"
176,"{'label': 'NEU', 'score': 0.8207070827484131}"
177,"{'label': 'NEU', 'score': 0.8614370822906494}"
178,"{'label': 'NEU', 'score': 0.9401853084564209}"
179,"{'label': 'POS', 'score': 0.8287227749824524}"
180,"{'label': 'NEU', 'score': 0.9636023044586182}"
181,"{'label': 'NEU', 'score': 0.6654118299484253}"
182,"{'label': 'NEU', 'score': 0.8207070827484131}"
183,"{'label': 'NEU', 'score': 0.8614370822906494}"
184,"{'label': 'NEU', 'score': 0.9401853084564209}"
185,"{'label': 'POS', 'score': 0.8287227749824524}"
186,"{'label': 'NEU', 'score': 0.9636023044586182}"
187,"{'label': 'NEU', 'score': 0.6654118299484253}"
188,"{'label': 'NEU', 'score': 0.8207070827484131}"
189,"{'label': 'NEU', 'score': 0.8614370822906494}"
190,"{'label': 'NEU', 'score': 0.9401853084564209}"
191,"{'label': 'POS', 'score': 0.8287227749824524}"
192,"{'label': 'NEU', 'score': 0.9636023044586182}"
193,"{'label': 'NEU', 'score': 0.6654118299484253}"
194,"{'label': 'NEU', 'score': 0.8207070827484131}"
195,"{'label': 'NEU', 'score': 0.8614370822906494}"
196,"{'label': 'NEU', 'score': 0.9401853084564209}"
197,"{'label': 'POS', 'score': 0.8287227749824524}"
198,"{'label': 'NEU', 'score': 0.9636023044586182}"
199,"{'label': 'NEU', 'score': 0.6654118299484253}"
200,"{'label': 'NEU', 'score': 0.8207070827484131}"
201,"{'label': 'NEU', 'score': 0.8614370822906494}"
202,"{'label': 'NEU', 'score': 0.9433559775352478}"
203,"{'label': 'POS', 'score': 0.5642479062080383}"
204,"{'label': 'POS', 'score': 0.5642479062080383}"
205,"{'label': 'POS', 'score': 0.5642479062080383}"
206,"{'label': 'POS', 'score': 0.5642479062080383}"
207,"{'label': 'POS', 'score': 0.5642479062080383}"
208,"{'label': 'NEU', 'score': 0.9550295472145081}"
209,"{'label': 'NEU', 'score': 0.9586819410324097}"
210,"{'label': 'NEU', 'score': 0.9550295472145081}"
211,"{'label': 'NEU', 'score': 0.9586819410324097}"
212,"{'label': 'NEU', 'score': 0.9550295472145081}"
213,"{'label': 'NEU', 'score': 0.9586819410324097}"
214,"{'label': 'NEU', 'score': 0.9550295472145081}"
215,"{'label': 'NEU', 'score': 0.9586819410324097}"
216,"{'label': 'NEU', 'score': 0.9550295472145081}"
217,"{'label': 'NEU', 'score': 0.9586819410324097}"
218,"{'label': 'NEU', 'score': 0.9389439821243286}"
219,"{'label': 'POS', 'score': 0.9907000660896301}"
220,"{'label': 'NEU', 'score': 0.9440531730651855}"
221,"{'label': 'NEU', 'score': 0.9710155129432678}"
222,"{'label': 'NEU', 'score': 0.9047088623046875}"
223,"{'label': 'NEU', 'score': 0.9162893295288086}"
224,"{'label': 'NEU', 'score': 0.9710155129432678}"
225,"{'label': 'NEU', 'score': 0.9047088623046875}"
226,"{'label': 'NEU', 'score': 0.9162893295288086}"
227,"{'label': 'NEU', 'score': 0.9710155129432678}"
228,"{'label': 'NEU', 'score': 0.9047088623046875}"
229,"{'label': 'NEU', 'score': 0.9162893295288086}"
230,"{'label': 'NEU', 'score': 0.9710155129432678}"
231,"{'label': 'NEU', 'score': 0.9047088623046875}"
232,"{'label': 'NEU', 'score': 0.9162893295288086}"
233,"{'label': 'NEU', 'score': 0.9710155129432678}"
234,"{'label': 'NEU', 'score': 0.9047088623046875}"
235,"{'label': 'NEU', 'score': 0.9162893295288086}"
236,"{'label': 'NEU', 'score': 0.6815542578697205}"
237,"{'label': 'NEU', 'score': 0.9314389228820801}"
238,"{'label': 'NEU', 'score': 0.9314389228820801}"
239,"{'label': 'NEU', 'score': 0.9314389228820801}"
240,"{'label': 'NEU', 'score': 0.9314389228820801}"
241,"{'label': 'NEU', 'score': 0.9314389228820801}"
242,"{'label': 'NEU', 'score': 0.9445269107818604}"
243,"{'label': 'NEU', 'score': 0.8926868438720703}"
244,"{'label': 'NEG', 'score': 0.649643063545227}"
245,"{'label': 'NEU', 'score': 0.9445269107818604}"
246,"{'label': 'NEU', 'score': 0.8926868438720703}"
247,"{'label': 'NEG', 'score': 0.649643063545227}"
248,"{'label': 'NEU', 'score': 0.9445269107818604}"
249,"{'label': 'NEU', 'score': 0.8926868438720703}"
250,"{'label': 'NEG', 'score': 0.649643063545227}"
251,"{'label': 'NEU', 'score': 0.9445269107818604}"
252,"{'label': 'NEU', 'score': 0.8926868438720703}"
253,"{'label': 'NEG', 'score': 0.649643063545227}"
254,"{'label': 'NEU', 'score': 0.9445269107818604}"
255,"{'label': 'NEU', 'score': 0.8926868438720703}"
256,"{'label': 'NEG', 'score': 0.649643063545227}"
257,"{'label': 'NEU', 'score': 0.9661924839019775}"
258,"{'label': 'NEU', 'score': 0.9661924839019775}"
259,"{'label': 'NEU', 'score': 0.9661924839019775}"
260,"{'label': 'NEU', 'score': 0.9661924839019775}"
261,"{'label': 'NEU', 'score': 0.9661924839019775}"
262,"{'label': 'NEU', 'score': 0.9397749900817871}"
263,"{'label': 'NEG', 'score': 0.9679232239723206}"
264,"{'label': 'NEU', 'score': 0.9397749900817871}"
265,"{'label': 'NEG', 'score': 0.9679232239723206}"
266,"{'label': 'NEU', 'score': 0.9397749900817871}"
267,"{'label': 'NEG', 'score': 0.9679232239723206}"
268,"{'label': 'NEU', 'score': 0.9397749900817871}"
269,"{'label': 'NEG', 'score': 0.9679232239723206}"
270,"{'label': 'NEU', 'score': 0.9397749900817871}"
271,"{'label': 'NEG', 'score': 0.9679232239723206}"
272,"{'label': 'NEU', 'score': 0.862820565700531}"
273,"{'label': 'POS', 'score': 0.9022480845451355}"
274,"{'label': 'POS', 'score': 0.7631255388259888}"
275,"{'label': 'NEU', 'score': 0.9140536189079285}"
276,"{'label': 'NEU', 'score': 0.9134026765823364}"
277,"{'label': 'NEU', 'score': 0.9140536189079285}"
278,"{'label': 'NEU', 'score': 0.9134026765823364}"
279,"{'label': 'NEU', 'score': 0.9140536189079285}"
280,"{'label': 'NEU', 'score': 0.9134026765823364}"
281,"{'label': 'NEU', 'score': 0.9140536189079285}"
282,"{'label': 'NEU', 'score': 0.9134026765823364}"
283,"{'label': 'NEU', 'score': 0.9140536189079285}"
284,"{'label': 'NEU', 'score': 0.9134026765823364}"
285,"{'label': 'POS', 'score': 0.9914816617965698}"
286,"{'label': 'NEU', 'score': 0.5448929667472839}"
287,"{'label': 'NEU', 'score': 0.5448929667472839}"
288,"{'label': 'NEU', 'score': 0.5448929667472839}"
289,"{'label': 'NEU', 'score': 0.5448929667472839}"
290,"{'label': 'NEU', 'score': 0.5448929667472839}"
291,"{'label': 'NEU', 'score': 0.9715016484260559}"
292,"{'label': 'NEU', 'score': 0.9715016484260559}"
293,"{'label': 'NEU', 'score': 0.9715016484260559}"
294,"{'label': 'NEU', 'score': 0.9715016484260559}"
295,"{'label': 'NEU', 'score': 0.9715016484260559}"
296,"{'label': 'NEG', 'score': 0.7450274229049683}"
297,"{'label': 'NEU', 'score': 0.7773765921592712}"
298,"{'label': 'POS', 'score': 0.7346952557563782}"
299,"{'label': 'NEU', 'score': 0.7773765921592712}"
300,"{'label': 'POS', 'score': 0.7346952557563782}"
301,"{'label': 'NEU', 'score': 0.7773765921592712}"
302,"{'label': 'POS', 'score': 0.7346952557563782}"
303,"{'label': 'NEU', 'score': 0.7773765921592712}"
304,"{'label': 'POS', 'score': 0.7346952557563782}"
305,"{'label': 'NEU', 'score': 0.7773765921592712}"
306,"{'label': 'POS', 'score': 0.7346952557563782}"
307,"{'label': 'NEU', 'score': 0.9357802867889404}"
308,"{'label': 'NEU', 'score': 0.857342004776001}"
309,"{'label': 'NEG', 'score': 0.759501576423645}"
310,"{'label': 'NEU', 'score': 0.9566060900688171}"
311,"{'label': 'NEU', 'score': 0.967170238494873}"
312,"{'label': 'NEU', 'score': 0.9527210593223572}"
313,"{'label': 'NEU', 'score': 0.7638653516769409}"
314,"{'label': 'NEU', 'score': 0.9651061296463013}"
315,"{'label': 'NEU', 'score': 0.9293085336685181}"
316,"{'label': 'NEU', 'score': 0.7148906588554382}"
317,"{'label': 'NEU', 'score': 0.95766282081604}"
318,"{'label': 'NEU', 'score': 0.95766282081604}"
319,"{'label': 'NEU', 'score': 0.95766282081604}"
320,"{'label': 'NEU', 'score': 0.95766282081604}"
321,"{'label': 'NEU', 'score': 0.95766282081604}"
322,"{'label': 'NEU', 'score': 0.8164217472076416}"
323,"{'label': 'NEU', 'score': 0.6742720603942871}"
324,"{'label': 'NEU', 'score': 0.8268203735351562}"
325,"{'label': 'NEU', 'score': 0.9390062093734741}"
326,"{'label': 'POS', 'score': 0.987405002117157}"
327,"{'label': 'NEU', 'score': 0.9686411023139954}"
328,"{'label': 'NEU', 'score': 0.8268203735351562}"
329,"{'label': 'NEU', 'score': 0.9390062093734741}"
330,"{'label': 'POS', 'score': 0.987405002117157}"
331,"{'label': 'NEU', 'score': 0.9686411023139954}"
332,"{'label': 'NEU', 'score': 0.8268203735351562}"
333,"{'label': 'NEU', 'score': 0.9390062093734741}"
334,"{'label': 'POS', 'score': 0.987405002117157}"
335,"{'label': 'NEU', 'score': 0.9686411023139954}"
336,"{'label': 'NEU', 'score': 0.8268203735351562}"
337,"{'label': 'NEU', 'score': 0.9390062093734741}"
338,"{'label': 'POS', 'score': 0.987405002117157}"
339,"{'label': 'NEU', 'score': 0.9686411023139954}"
340,"{'label': 'NEU', 'score': 0.8268203735351562}"
341,"{'label': 'NEU', 'score': 0.9390062093734741}"
342,"{'label': 'POS', 'score': 0.987405002117157}"
343,"{'label': 'NEU', 'score': 0.9686411023139954}"
344,"{'label': 'NEU', 'score': 0.8969171643257141}"
345,"{'label': 'NEG', 'score': 0.7950348854064941}"
346,"{'label': 'NEU', 'score': 0.8910561203956604}"
347,"{'label': 'NEU', 'score': 0.9651458859443665}"
348,"{'label': 'NEU', 'score': 0.9593510627746582}"
349,"{'label': 'NEU', 'score': 0.9610557556152344}"
350,"{'label': 'NEU', 'score': 0.9046756029129028}"
351,"{'label': 'NEG', 'score': 0.7708820104598999}"
352,"{'label': 'NEU', 'score': 0.9092100262641907}"
353,"{'label': 'NEU', 'score': 0.9610557556152344}"
354,"{'label': 'NEU', 'score': 0.9046756029129028}"
355,"{'label': 'NEG', 'score': 0.7708820104598999}"
356,"{'label': 'NEU', 'score': 0.9092100262641907}"
357,"{'label': 'NEU', 'score': 0.9610557556152344}"
358,"{'label': 'NEU', 'score': 0.9046756029129028}"
359,"{'label': 'NEG', 'score': 0.7708820104598999}"
360,"{'label': 'NEU', 'score': 0.9092100262641907}"
361,"{'label': 'NEU', 'score': 0.9610557556152344}"
362,"{'label': 'NEU', 'score': 0.9046756029129028}"
363,"{'label': 'NEG', 'score': 0.7708820104598999}"
364,"{'label': 'NEU', 'score': 0.9092100262641907}"
365,"{'label': 'NEU', 'score': 0.9610557556152344}"
366,"{'label': 'NEU', 'score': 0.9046756029129028}"
367,"{'label': 'NEG', 'score': 0.7708820104598999}"
368,"{'label': 'NEU', 'score': 0.9092100262641907}"
369,"{'label': 'NEU', 'score': 0.9019333720207214}"
370,"{'label': 'NEU', 'score': 0.952364444732666}"
371,"{'label': 'POS', 'score': 0.9894716143608093}"
372,"{'label': 'NEU', 'score': 0.888071596622467}"
373,"{'label': 'NEU', 'score': 0.8572148084640503}"
374,"{'label': 'NEU', 'score': 0.637726366519928}"
375,"{'label': 'NEG', 'score': 0.8754146099090576}"
376,"{'label': 'NEU', 'score': 0.624323308467865}"
377,"{'label': 'NEU', 'score': 0.966631293296814}"
378,"{'label': 'NEU', 'score': 0.9444257020950317}"
379,"{'label': 'NEU', 'score': 0.6404060125350952}"
380,"{'label': 'NEU', 'score': 0.695972740650177}"
